Date,Trait,Method,Fold,R2,RMSE
20250612,LMA,RTM,4,0.5574813775295021,2.9643500847224558
20250612,LMA,RTM,5,0.5328305724292697,3.979171776985909
20250612,LMA,ELC,1,0.19983635231674302,3.114237423344333
20250612,LMA,ELC,2,0.35433498561182597,4.173469365857539
20250612,LMA,ELC,3,0.26195522676655814,4.7570802741748555
20250612,LMA,ELC,4,0.5747438881324944,2.9059557571735994
20250612,LMA,ELC,5,0.4183359454883192,4.440088164317436
20250612,LMA,ELC3,1,0.19983635231674302,3.114237423344333
20250612,LMA,ELC3,2,0.35433498561182597,4.173469365857539
20250612,LMA,ELC3,3,0.26195522676655814,4.7570802741748555
20250612,LMA,ELC3,4,0.5747438881324944,2.9059557571735994
20250612,LMA,ELC3,5,0.4183359454883192,4.440088164317436
20250612,LAI,RTM,1,0.24742091530204124,0.4969544587650026
20250612,LAI,RTM,2,0.4618234860897238,0.43725320248569916
20250612,LAI,RTM,3,0.65014909802967,0.3930831461283559
20250612,LAI,RTM,4,0.438314184120588,0.507236742090992
20250612,LAI,RTM,5,0.3496907037976892,0.48977203435288785
20250612,LAI,ELC,1,0.193410288003952,0.5144780594239015
20250612,LAI,ELC,2,0.6123811328052826,0.37108472891825306
20250612,LAI,ELC,3,0.5894671931940767,0.425810982601631
20250612,LAI,ELC,4,0.5817144553130147,0.43772404530299336
20250612,LAI,ELC,5,0.4932144789743803,0.4323605908596436
20250612,LAI,ELC3,1,0.193410288003952,0.5144780594239015
20250612,LAI,ELC3,2,0.6123811328052826,0.37108472891825306
20250612,LAI,ELC3,3,0.5894671931940767,0.425810982601631
20250612,LAI,ELC3,4,0.5817144553130147,0.43772404530299336
20250612,LAI,ELC3,5,0.4932144789743803,0.4323605908596436
20250612,LNC,RTM,1,0.8012820949612921,0.25644869574634194
20250612,LNC,RTM,2,0.9237579069738551,0.2529086067469163
20250612,LNC,RTM,3,0.8231790803645693,0.4141823669592903
20250612,LNC,RTM,4,0.8830229178817759,0.25752100059995175
20250612,LNC,RTM,5,0.9170274681990371,0.27321788544127146
20250612,LNC,ELC,1,0.7924056356492277,0.26211373220099204
20250612,LNC,ELC,2,0.9523228964154703,0.19999591997921637
20250612,LNC,ELC,3,0.8453059832295945,0.38740171717051963
20250612,LNC,ELC,4,0.8668002351433931,0.2747982661274751
20250612,LNC,ELC,5,0.8735151249700127,0.337334882856289
20250612,LNC,ELC3,1,0.7924056356492277,0.26211373220099204
20250612,LNC,ELC3,2,0.9523228964154703,0.19999591997921637
20250612,LNC,ELC3,3,0.8453059832295945,0.38740171717051963
20250612,LNC,ELC3,4,0.8668002351433931,0.2747982661274751
20250612,LNC,ELC3,5,0.8735151249700127,0.337334882856289
20250612,CNC,RTM,1,0.4015797031504461,1.4271922039524738
20250612,CNC,RTM,2,0.6602972109466165,1.1705430369352123
20250612,CNC,RTM,3,0.8430806773014325,0.8919439902908258
20250612,CNC,RTM,4,0.6881799397303332,1.2630999684423967
20250612,CNC,RTM,5,0.6454429805102859,1.314010670543228
20250612,CNC,ELC,1,0.33315388188419315,1.5065797326698205
20250612,CNC,ELC,2,0.676640107878879,1.1420389215218143
20250612,CNC,ELC,3,0.8102902337527698,0.9807181564592586
20250612,CNC,ELC,4,0.761556111272176,1.1045332567743429
20250612,CNC,ELC,5,0.7411477321855185,1.1227468237247813
20250612,CNC,ELC3,1,0.33315388188419315,1.5065797326698205
20250612,CNC,ELC3,2,0.676640107878879,1.1420389215218143
20250612,CNC,ELC3,3,0.8102902337527698,0.9807181564592586
20250612,CNC,ELC3,4,0.761556111272176,1.1045332567743429
20250612,CNC,ELC3,5,0.7411477321855185,1.1227468237247813
20250625,LMA,RTM,1,0.10017492711611986,4.776161398789781
20250625,LMA,RTM,2,-2.422204957128192,7.460708138352156
20250625,LMA,RTM,3,0.11059448287319151,8.948774911078207
20250625,LMA,RTM,4,0.05434443855318394,5.531377275949667
20250625,LMA,RTM,5,-0.15743693373368095,8.64094878766925
20250625,LMA,ELC,1,-1.523122857655388,7.997774376300755
20250625,LMA,ELC,2,-0.22011877648165545,4.454798841561132
20250625,LMA,ELC,3,-0.020235549330020364,9.584377278121064
20250625,LMA,ELC,4,-0.1729581794740549,6.1603878372000445
20250625,LMA,ELC,5,-0.22286905467321905,8.881835809010825
20250625,LMA,ELC3,1,-1.523122857655388,7.997774376300755
20250625,LMA,ELC3,2,-0.22011877648165545,4.454798841561132
20250625,LMA,ELC3,3,-0.020235549330020364,9.584377278121064
20250625,LMA,ELC3,4,-0.1729581794740549,6.1603878372000445
20250625,LMA,ELC3,5,-0.22286905467321905,8.881835809010825
20250625,LAI,RTM,1,0.7365406990781257,0.21379370870498782
20250625,LAI,RTM,2,0.894828586262068,0.20930464296769286
20250625,LAI,RTM,3,0.910715114896214,0.18524935995525893
20250625,LAI,RTM,4,0.9115843031446522,0.17907757296001597
20250625,LAI,RTM,5,0.8739465407147418,0.18445167253691885
20250625,LAI,ELC,1,0.6844749529394922,0.23396725169810972
20250625,LAI,ELC,2,0.880877623702137,0.22275459966126407
20250625,LAI,ELC,3,0.9219497935889563,0.17320274556883683
20250625,LAI,ELC,4,0.9327176498143931,0.15621656686098687
20250625,LAI,ELC,5,0.9202235848615009,0.1467379581964624
20250625,LAI,ELC3,1,0.6844749529394922,0.23396725169810972
20250625,LAI,ELC3,2,0.880877623702137,0.22275459966126407
20250625,LAI,ELC3,3,0.9219497935889563,0.17320274556883683
20250625,LAI,ELC3,4,0.9327176498143931,0.15621656686098687
20250625,LAI,ELC3,5,0.9202235848615009,0.1467379581964624
20250625,LNC,RTM,1,0.5199755830440542,0.42505587487607616
20250625,LNC,RTM,2,0.7602484822895575,0.276492795807293
20250625,LNC,RTM,3,0.562148403462595,0.3446530391930413
20250625,LNC,RTM,4,0.3226199340759457,0.4194919549884127
20250625,LNC,RTM,5,0.7582816120540482,0.34028422531760116
20250625,LNC,ELC,1,0.5555972286717079,0.4089806285143583
20250625,LNC,ELC,2,0.8123313170457523,0.24462398715511705
20250625,LNC,ELC,3,0.43701202837500475,0.3908122802041063
20250625,LNC,ELC,4,0.5105480999546941,0.3565844822525704
20250625,LNC,ELC,5,0.7628632746255464,0.3370438301121483
20250625,LNC,ELC3,1,0.5555972286717079,0.4089806285143583
20250625,LNC,ELC3,2,0.8123313170457523,0.24462398715511705
20250625,LNC,ELC3,3,0.43701202837500475,0.3908122802041063
20250625,LNC,ELC3,4,0.5105480999546941,0.3565844822525704
20250625,LNC,ELC3,5,0.7628632746255464,0.3370438301121483
20250625,CNC,RTM,1,0.7495375119228589,0.7022375329416548
20250625,CNC,RTM,2,0.8475006234761588,0.6449402319971013
20250625,CNC,RTM,3,0.8439060160109129,0.7594261795292545
20250625,CNC,RTM,4,0.8007606051920186,0.7016268917855005
20250625,CNC,RTM,5,0.8664109933898533,0.5575799337184288
20250625,CNC,ELC,1,0.6671531062159199,0.8095337261260555
20250625,CNC,ELC,2,0.9414316114636974,0.3996842851073032
20250625,CNC,ELC,3,0.8167332028713317,0.8228759637448037
20250625,CNC,ELC,4,0.8806732416154537,0.5429846353300463
20250625,CNC,ELC,5,0.8302750784492073,0.6284845183174925
20250625,CNC,ELC3,1,0.6671531062159199,0.8095337261260555
20250625,CNC,ELC3,2,0.9414316114636974,0.3996842851073032
20250625,CNC,ELC3,3,0.8167332028713317,0.8228759637448037
20250625,CNC,ELC3,4,0.8806732416154537,0.5429846353300463
20250625,CNC,ELC3,5,0.8302750784492073,0.6284845183174925
